_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:10:27.677Z,null,null,null,null,null,USCG,null,Colombia,null,null,1,null,null,null,9359818,null,14-06-24,PSC,null,null,Koray Dikbasan,Indian & turkish ,"Garbage  

a) All kind of waste are stored not according to GMP                                                                                                       b) Authorized bins and spaces for storage, long terms are full of wasted ",null,Q2 - 2024,Barranquilla,null,Pollution Prevention - MARPOL Annex V,14501,Garbage shipboard handling,BOSPHORUS SHIPPING LTD,17,2024SSMTPSC025,null,null,null,null,null,Satish Mishra,Santhosh Kumar,28-02-25,Bosphorus-M,Bulk Carrier,"MITSUI ENGINEERING & SHIPBUILDING CO., LTD.",null,19.11,null,null,null,Dry,Bulk Carrier,Liberia,Iskenderun Shipping Ltd,null,SSMT
2025-04-29T12:10:27.668Z,null,null,null,null,null,Vina del Mar,null,Venezuela,null,0,0,null,null,null,9450791,null,07-05-24,PSC,null,null,Koray Dikbasan,Indian & turkish ,Nil ,null,Q2 - 2024,Bahia de Jose,null,,null,,MARMARIS SHIPPING LTD. ,null,2024SSMTPSC013,null,null,null,null,null,Satish Mishra,Anshuman,28-02-25,Marmaris-M,Bulk Carrier,"KOREA SPP SHIPBULDING CO.,LTD",null,15.5,null,null,null,Dry,Bulk Carrier,Panama,Iskenderun Shipping Ltd,null,SSMT
2025-04-29T12:10:27.684Z,null,null,null,null,null,Black Sea MoU,null,Russia,null,null,1,null,null,null,9237204,null,23-08-24,PSC,null,null,null,Indian & turkish ,Gangway – access not safe,null,Q3 - 2024,Tuapse,null,Safety of Navigation,10129,Navigation records,PYRAMOS SHIPPING LTD,17,2024SSMTPSC036,null,null,null,null,null,null,null,29-01-25,Bozburun-M,Bulk Carrier,"MITSUI ENGINEERING & SHIPBUILDING CO., LTD.",null,24.22,null,null,null,Dry,Bulk Carrier,Panama,Iskenderun Shipping Ltd,null,SSMT
2025-04-29T12:09:21.363Z,null,null,null,null,NA,Tokyo MOU,NA,Japan,null,1,null,null,null,NA,9414125,null,05-01-24,PSC,Hirata Tomohiro,Ravi Sekhar ,Melroy ,Chinese,NA,Silver Maritime,Q1-2024,Osaka,null,#REF!,2105,#REF!,Silver Maritime Eleven Pte Ltd,NA,24PSC002,null,null,null,null,NA,Rajesh Inigo,Anuj Kumar,20-03-24,Pacific Busan,Container,"ZHJIAN YANGFAN SHIP GROUP CO., Ltd",null,18.09,null,null,null,Dry,Container,Singapore,Silver Maritime,null,SMCL
2025-04-29T12:09:21.365Z,null,null,null,null,Ch IV/Navigation- (Passage Planning),Tokyo MOU,null,South Korea,null,1,null,null,null,null,9414125,null,05-03-24,PSC ,"JUNG,BYEONG-UK/LEE,SEUNGUN",Ravi Sekhar ,Melroy,Filipino,Safety of Navigation/ Voyage or Passage plan/Method of Position Fixing not Specified on Passage Plan,Silver Maritime,Q1-2024,Busan,null,#REF!,10127,#REF!,Silver Maritime Eleven Pte Ltd,16,24PSC022,null,null,null,null,null,Umesh Iyengar,Anuj Kumar,20-03-24,Pacific Busan,Container,"ZHJIAN YANGFAN SHIP GROUP CO., Ltd",null,18.09,null,null,null,Dry,Container,Singapore,Silver Maritime,null,SMCL
2025-04-29T12:09:57.105Z,null,null,null,null,null,Paris MOU,Procedures,Italy,null,4,1,null,null,null,9399349,null,16-01-25,null,Port State Control (2018) 1st Edition (2018),null,null,null,"Despite the ship is provided with a qualified cook, on the MSMD there is no provision for the cook itself even the same document provides more than 10 crew members.",null,Q1 - 2025,Sarroch,null,Manning specified by the minimum safe manning doc,1209,Certificates & Documentation - Crew Certificate,null,16,null,null,null,null,null,null,null,null,01-05-25,Henriette Maersk,Tanker,null,null,null,null,null,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:57.077Z,null,null,null,null,null,Paris MOU,null,Lithuania,null,0,0,null,null,null,9299446,null,18-04-24,null,null,null,null,null,Nil findings,null,Q2 - 2024,Klaipeda,null,null,null,null,null,null,875,null,null,null,null,null,null,null,26-07-24,Maersk Belfast,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.45,null,882,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:57.073Z,null,null,null,null,null,Tokyo MOU,null,China,null,null,1,null,null,null,9340582,null,08-04-24,null,null,null,null,null,Both doors of wheelhouse cannot keep gastight,null,Q2 - 2024,Nantong,null,null,12199,other (tankers),null,16,838,null,null,null,null,null,null,null,01-08-24,Maersk Brigit,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.02,null,845,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:00.801Z,Active,null,null,null,null,Mediterranean MoU,null,Tunisia,null,4,1,null,null,null,9694189,E,22-03-25,PSC,Samir Mkachar,Sachin Bagga,Santhosh Rangan,null,No record on board the ship for ON/OFF status of diesel engine in NECA,Aditya Birla Group,Q1 - 2025,La Skhirra,null,null,null,null,null,16,2025PSC137,null,null,null,null,null,Rajendran Sivakumar,Madhu Nadilla,01-05-25,LVM Warrior,Tanker,null,null,null,null,null,null,Wet,Tanker,Marshall Islands,Oaktree Capital Management LP,No,SMPL
2025-04-29T12:10:00.357Z,null,null,null,null,null,Tokyo MOU,null,China,null,null,1,null,null,null,9464596,null,14-01-22,PSC,Zhang Wei,Kohli (Synergy Germany),Anand NR,"India, Ukraine",Partly of reflective tapes on the top of lifeboat aged,Oldendorff Carriers GMBH & Co KG,Q1 - 2022,Taicang,null,Life saving appliances,11101,Lifeboats,Rosebank Maritime Inc,17,2022PSC002,null,null,null,null,null,Tata M Sarma,Dharmpal S Sutar,29-01-24,Penelope Oldendorff,Bulk Carrier,New Times Shipbuilding Co. Ltd,null,14.67,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.398Z,null,null,null,null,null,Tokyo MoU,NA,South Korea,null,0,0,null,null,NA,9537903,null,28-11-23,PSC,HA.Chang Hoon/ Han Mavjoon,Kohli (Synergy Germany),Capt.Subhabrata Bhattacharyya ,India,Nil Findings,Oldendorff Carriers GMBH & Co KG,Q4 - 2023,Boryeong,null,0,null,0,Oldendorff Carriers GmbH,null,2023PSC045,null,null,null,null,null,Tata M Sarma,Dharmapal Sutar,26-06-24,Conrad Oldendorff,Bulk Carrier,Taizhou Catic Shipbuilding Heavy Industry Ltd. / China,null,14.44,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:09:44.51Z,null,null,null,null,null,Tokyo MOU,null,China,null,5,1,null,null,null,9328560,null,04-09-23,PSC,"Zhang Xiang, Du Yuan Yuan",null,null,"Indian, Filipino",Self Closing fire door of stairway to bridge on C Deck not properly self closing,NGM ENERGY GROUP ,Q3 - 2023,Nantong,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,Dorado Shipping and Trading INC.,17,2023PSC012,null,null,null,null,null,null,null,01-05-25,Epicurus,Bulk Carrier,"UNIVERSAL SHIPBUILDING CORP.,MAIZURU,JAPAN",null,19.95,null,null,null,Dry,Bulk Carrier,Liberia,NGM ENERGY GROUP ,null,SOPL
2025-04-29T12:09:44.511Z,null,null,null,null,null,Vina del Mar,null,Peru,null,0,0,null,null,null,9928205,null,16-11-23,PSC,Cesar Larriega Vigil,null,null,Myanmmar,Nil findings,NISSEN Kaiun KK,Q4 - 2023,Callao,null,0,null,0,"Kyowa Kisen Co. Ltd. (99.0%), Green Spanker Shipping  S.A (1%)",null,2023PSC018,null,null,null,null,null,null,null,01-05-25,Maersk Everglades,Container,"Jiangsu New Yangzi Shipbuilding CO.,LTD.",null,2.09,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SOPL
2025-04-29T12:09:57.072Z,null,null,null,null,null,Vina del Mar,null,Honduras,null,null,1,null,null,null,9299434,null,27-04-24,null,null,null,null,null,"1) 18424 Warm up valve crossover valve needs to be replaced.

2) 18424 Insolation valve STB side with water leak. (This has PSC action code 16 (To be rectified within 14 days))",null,Q2 - 2024,Puerto Cortes,null,null,18424,"Steam pipes, pressure pipes, wires (insulation)",null,17,836,null,null,null,null,null,null,null,29-08-24,Maersk Bristol,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,19.56,null,843,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:56.982Z,null,null,null,null,null,Tokyo MOU,null,China,null,null,1,null,null,null,9726451,null,05-12-23,null,null,null,null,null,Suez Canal stern signal light unlit.,null,Q4 - 2023,Zhoushan,null,Safety of Navigation,10109,"Lights, shapes, sound-signals",null,16,698,null,null,null,null,null,null,null,01-05-25,Maersk Tangier,Tanker,"Sungdong Shipbuilding & Marine Engg Co Ltd, Tongyeong, South Korea.",null,9.24,null,705,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:57.001Z,null,null,null,null,null,Abuja MOU,null,Guinea,null,0,0,null,null,null,9431305,null,07-01-23,null,null,null,null,null,Nil findings,null,Q1 - 2023,Kamsar,null,null,null,null,null,null,710,null,null,null,null,null,null,null,01-05-25,Maersk Kiera,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,13.47,null,717,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:57.043Z,null,null,null,null,null,Caribbean MOU,null,Honduras,null,0,0,null,null,null,9340594,null,14-03-23,null,null,null,null,null,Nil findings,null,Q1 - 2023,Puerto Castilla,null,null,null,null,null,null,732,null,null,null,null,null,null,null,01-05-25,Maersk Beaufort,Tanker,"Guangzhou Shipyard International Co Ltd, China",null,18.83,null,739,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:10:12.792Z,null,null,null,null,null,Tokyo MoU,null,Singapore,null,null,1,null,null,null,9433860,null,16-04-24,PSC,Muhammad Danial,null,null,"Indonesian, Indian","SAFETY OF NAVIGATION/Navigation bridge visibility/Both port and 
starboard clear view found inconspicuous at time of inspection.",null,Q2 - 2024,Singapore,null,Safety of Navigation,10128,Navigation bridge visibility,PT.SAMUDERA AMANAH TANKER,null,2024SMICPSC001,null,null,null,null,null,null,null,01-05-25,Sinar Minahasa,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.35,null,null,null,Wet,Tanker,Indonesia,Samudera,Yes,SMIC
2025-04-29T12:10:12.792Z,null,null,null,null,null,Tokyo MoU,null,Singapore,null,null,1,null,null,null,9433860,null,16-04-24,PSC,Muhammad Danial,null,null,"Indonesian, Indian","POLLUTION PREVENTION - MARPOL ANNEX I/Pumping. piping and 
discharge arrangements/Oil spill occurred and spilled overboard (overflowed from 2P bunker tank 
vent) during bunkering operation. Chief engineer claimed bunker valve for 2P tank leaking when 
closed.",null,Q2 - 2024,Singapore,null,Pollution Prevention - MARPOL Annex I,14105,"Pumping, piping and discharge arrangements",PT.SAMUDERA AMANAH TANKER,null,2024SMICPSC001,null,null,null,null,null,null,null,01-05-25,Sinar Minahasa,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.35,null,null,null,Wet,Tanker,Indonesia,Samudera,Yes,SMIC
2025-04-29T12:10:35.121Z,null,null,null,null,null,Vina del Mar,null,Peru,null,0,0,null,null,null,9714680,null,28-11-24,PSC,Miguel Antonio Veloza Arias,Damanjeet Singh Bakshi,Nitin Jaiswal ,Filippino,Nil deficiency,GENCO,Q4 - 2024,Callao,null,null,null,null,Genco Mayflower Ltd,null,2024GSBCPSC017,null,null,null,null,null,Arunkumar,Kishor Kunal,01-05-25,Genco Mayflower,Bulk Carrier,Chengxi Shipbuilding Co. Ltd,null,8.31,null,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,No,GSBC
2025-04-29T12:10:33.345Z,Active,null,null,null,null,Tokyo MoU,null,Hong Kong,Indian,5,1,null,Fleet A,null,9490636,null,07-06-24,PSC,Wl Chan,Damanjeet Singh Bakshi,Vipul Kumar,null,"Free-fall Lifeboat, the exterior Markings and Retro-reflective Tapes are not arranged in order as per statutory requirement (such as all the Tapes for the top is missing, the Ship Name and Port of Registry are not legible...etc.). The Warning Notice and Instruction is not available in a conspicuous location for the Emergency Release Lever (next to the entrance door).",Genco,Q2 - 2024,Hong Kong,null,Life saving appliances,11101,Lifeboats,null,16,2024PSC66,Genco Ardennes Ltd,null,null,null,null,Arunkumar,Dinesh marimuthu ,01-07-24,Genco Ardennes,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.67,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.325Z,Active,null,null,null,null,Transport Canada,null,Canada,Filippino/ Ukranian / Bangladeshi,null,1,null,Fleet B,null,9490636,null,20-10-23,PSC,"Ahamed yusuff , Mclean Colin",Damanjeet Singh Bakshi,Tejinder Singh,null,Two Ballast Water tank sensors inoprative .,Genco,Q4 - 2023,Saint John,null,Pollution Prevention – Ballast Water,14899,Other BWM,null,16,2023PSC107,Genco Ardennes Ltd,null,null,null,null,Arun Kumar,Sathiyaseelan,01-07-24,Genco Ardennes,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.67,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:00.525Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9920681,null,13-02-25,PSC,"Robb, Graham",Sidhartha Mishra,Saurabh Pruthi,null,What happened Deficiencies 1 - 3 are objective evidence that the Safety Management System as implemented has failed to consider the safety of ships personnel.,null,Q1 - 2025,Gladstone,null,ISM,15106,Shipboard operations,null,18,2025PSC063,null,null,null,null,null,Ravinder Singh,Rajeev Kumar Gupta,01-05-25,Princess Eternity,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Marshall Islands,Doun Kisen Co Ltd,null,SMPL
2025-04-29T12:09:00.487Z,null,null,null,null,null,Asia-Pacific MoU,null,Vietnam,null,0,0,null,null,null,9425851,null,20-01-25,PSC ,Bui Tan Dat,Vikram Viswanathan,Balachander Subramanian,null,Nil Findings,null,Q1 - 2025,Qui Nhon,null,,null,,null,null,2025PSC022,null,null,null,null,null,Vinod Mittal,Rohit Joshi,01-05-25,Eternity SW,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Shih Wei Navigation Co Ltd,null,SMPL
2025-04-29T12:09:00.157Z,null,null,null,null,null,AMSA,null,Australia,null,0,0,null,null,null,9617521,null,10-12-24,PSC,White. John Patrick ,Sidhartha Mishra,Alok Ranjan,null,Nil Findings,null,Q4 - 2024,Hay Point,null,,null,,null,null,2024PSC521,null,null,null,null,null,Kunal Chandra,Murtuza Shabir,01-05-25,GH Kahlo,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Malta,Hayfin,null,SMPL
2025-04-29T12:09:13.177Z,Active ,null,null,null,null,Caribbean MoU,NA,Haiti,null,0,0,null,null,NA,9629706,null,23-02-24,PSC,Charles Winche,Cyril Cyriac,Nandakumar Unni,Indian + Filipino ,Nil,Praslin Shipping,Q1 - 2024,Port Au Prince,null,,null,,Maritime Amirante LLC,null,2024PSC007,null,null,null,null,NA,Deepak Sasikumar,Bijo Jose,01-05-25,Amirante,Tanker,"STX Offshore & Shipbuilding Co., Ltd.",null,11.89,null,null,null,Wet,Tanker,Marshall Islands,Parslin,No,SMC
2025-04-29T12:09:13.173Z,Active ,null,NA,null,null,Paris MoU,NA,Indonesia,null,0,0,null,null,NA,9894739,null,23-11-23,PSC,Andy Gando Munthe,Vijaya Ragavan,Deny Kattady,Indian + Filipino ,Nil findings,Shoei Kisen KK,Q4 - 2023,Kota Baru,null,,null,,San Lorenzo Shipping S.A.,null,2023PSC059,null,null,null,null,NA,Deepak Sasikumar,Rakesh,01-05-25,Nord Miyabi,Tanker,"Minaminippon Shipbuilding Co. Ltd, Ozai Shipyard",null,3.26,null,null,null,Wet,Tanker,Marshall Islands,Shoei Kisen KK,No,SMC
2025-04-29T12:09:13.124Z,Active ,null,null,null,Safety management,Paris MOU,Inadequate monitoring by vessel staff on the change in vessel freeboard conditions and failure to notify Office for further assistance and guidance before exceeding the maximum operating angle. ,Belgium,null,null,1,null,null,The gangway was adjusted to facilitate safe boarding of PSCO. Crew on watch advised to closely monitor for any adjustments required during her stay at port.,9376828,null,03-05-22,PSC,Claus Heyvaerts,Vijaya Ragavan,Denni Jacob,Indian + Filipino,"Access/ Structural feature 9ship) - Portable gangway marked with ""angle max, 30**. Actual inclination angle is in excess of 30°.  At the top of the accommodation ladder one has to step down about 1m to reach the steps leading down to deck",Norden Asset Management A/S,Q2 - 2022,Antwerp (Antwerpen),null,"Health protection, medical care, social security",18425,Access / structural features (ship),Norden Shipping (Singapore) Pte Ltd,17,2022PSC016,null,null,null,null,"Training for all responsible Officers and Crew carried out on the correct / safe use of portable gangway.
Circulate across the fleet informing vessels to suspend access before it becomes unsafe and work on alternate safe access which could be like the use of a service boat and use the off-shore side and to reach out to Office if any further assistance/guidance needed. ",Deepak Sasikumar,Niju Jose,09-05-22,Nord Snow queen,Tanker,Guangzhou Shipyard Intl. China,null,16.67,null,null,null,Wet,Tanker,Singapore,Norden Asset Management A/S,null,SMC
2025-04-29T12:10:00.394Z,null,null,null,null,null,Paris MOU,null,Italy,null,2,1,null,null,null,9622916,null,14-04-23,PSC,Elena Manni,Kohli (Synergy Germany),Capt. Nitin Jaiswal,"India, Romania, Russia",Found one heat detector in galley that did not activate immediately,Oldendorff Carriers GMBH & Co KG,Q2 - 2023,Brindisi,null,Fire safety,7106,Fire detection and alarm system,Catania Shipping Inc.,10,2023PSC013,null,null,null,null,null,Tata M Sarma,Cyril Mathew,03-11-24,Cora Oldendorff,Bulk Carrier,Taizhou CATIC Shipbuilding Heavy Industry Ltd - Taizhou JS,null,13.19,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.428Z,null,null,null,null,null,Others,NA,Argentina,null,0,0,null,null,NA,9311036,null,13-04-25,PSC,"PR LEONARDO GASTON PESOA, CI ROMERO MIGUEL ANGEL, CI RODERIGUEZ JOAQUIN",Kohli (Synergy Germany),Eva Bergant,India,Nil Findings,OKEE Ship Thirteen GmbH & Co KG,Q2 - 2025,Campana,null,0,null,0,Okee Ship Thirteen GmbH & Co. KG,null,2025PSC007,null,null,null,null,null,Devarayalu Gomatam,Ahutosh Agarwal,01-05-25,Okee John T,Tanker,Shin Kurushima Dockyard Co. Ltd. - Onishi,null,19.2,null,null,null,Wet,Tanker,Liberia,OKEE Maritime GmbH,null,SMG
2025-04-29T12:10:33.345Z,Active,null,null,null,null,Tokyo MoU,null,China,Filippino/Indian/Srilankan,null,1,null,Fleet C,null,9490662,null,26-05-24,PSC,"Zhang Xiang, Xu Haihui",Damanjeet Singh Bakshi,Shailendra Dixit,null,Isolation valve C02 pipe leading to No. 3 C/H jamed.,Genco,Q2 - 2024,Nantong,null,Fire safety,7109,Fixed fire extinguishing installation,null,17,2024PSC63,Genco Bourgogne Ltd,null,null,null,null,Arunkumar,Dinesh marimuthu ,14-09-24,Genco Bourgogne,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.26,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.315Z,Active,null,null,null,NA,Riyadh MOU,Nil,Liberia,Indian,0,0,null,Fleet C,Nil,9742663,null,04-08-23,PSC,Rami Moninah,Damanjeet Singh Bakshi,Shailendra Dixit,null,Nil findings,Genco,Q3 - 2023,Savannah,null,0,null,0,null,null,2023PSC120,Genco Vigilant Ltd,null,null,null,Nil,Sanjay Kumar Jaiswal,Kalicharan Ganguly,07-07-24,Genco Vigilant,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,9.99,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.305Z,Active,null,null,null,null,Tokyo MoU,null,China,Indian,null,1,null,Fleet B,null,9742651,null,21-04-23,PSC,"Dai Hongfei, Zhu Zhihui, Liu Guangwei",Damanjeet Singh Bakshi,Tejinder Singh,null,The key for fixed CO2 control box not kepted in fire control station,Genco,Q2 - 2023,Tianjin,null,Fire safety,7109,Fixed fire extinguishing installation,null,17,2023PSC040,Genco Freedom Ltd,null,null,null,null,Sanjay Jaiswal,Kalicharan Ganguly,26-06-24,Genco Freedom,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,10.15,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.335Z,Active,null,null,null,null,Vina del Mar,null,Peru,Indian/Srilankan/Bangladeshi,null,1,null,Fleet A,null,9593464,null,20-02-24,PSC,Nicholas Anderson Balarezo,Glennford Gonsalves,Harsh Kapoor,null,Hull Corrosion,Genco,Q1 - 2024,San Nicolas,null,Structural condition,2112,Hull - corrosion,null,18,2024PSC23,Baltic Lion Ltd,null,null,null,null,Ravikumar,Suresh kumar balamohan ,07-04-24,Genco Lion,Bulk Carrier,"Hyundai Heavy Industries Co.,Ltd",null,13.33,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.335Z,Active,null,null,null,null,Vina del Mar,null,Peru,Indian/Srilankan/Bangladeshi,null,1,null,Fleet A,null,9593464,null,20-02-24,PSC,Nicholas Anderson Balarezo,Glennford Gonsalves,Harsh Kapoor,null,Deck Corrosion,Genco,Q1 - 2024,San Nicolas,null,Structural condition,2117,Decks - corrosion,null,18,2024PSC23,Baltic Lion Ltd,null,null,null,null,Ravikumar,Suresh kumar balamohan ,07-04-24,Genco Lion,Bulk Carrier,"Hyundai Heavy Industries Co.,Ltd",null,13.33,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
